song_title,rating,rater_name,url
Opa,10,Miss B,simulated
Opa,1,Person C,simulated
Opa,3,Mister A,simulated
Opa,9,Person C,simulated
Oya lélé,6,Person C,simulated
Oya lélé,10,Person C,simulated
Oya lélé,4,Miss B,simulated
Oya lélé,5,Mister A,simulated
Oya lélé,8,Miss B,simulated
Papapa,1,Person C,simulated
Papapa,7,Miss B,simulated
Parapluutje,3.5,Mister A,simulated
Parapluutje,2.5,Miss B,simulated
Parapluutje,5.5,Miss B,simulated
Parapluutjes,1,Mister A,simulated
Parapluutjes,2.5,Mister A,simulated
Parels,6,Mister A,simulated
Parels,10,Mister A,simulated
Parels,3,Miss B,simulated
Parels,9,Miss B,simulated
Parels,10,Mister A,simulated
Pina Colada,1,Mister A,simulated
Pina Colada,1,Mister A,simulated
Piramide van liefde,1,Mister A,simulated
Piramide van liefde,8,Mister A,simulated
Piramide van liefde,5,Miss B,simulated
Play-o,8,Person C,simulated
Play-o,9,Person C,simulated
Popgroep,5,Miss B,simulated
Popgroep,9,Mister A,simulated
Popgroep,1,Person C,simulated
Popgroep,4,Person C,simulated
Popgroep,4,Person C,simulated
Prinses,7,Mister A,simulated
Prinses,8,Mister A,simulated
Prinses,5,Person C,simulated
Prinses,3,Person C,simulated
Prinsesje en Superman,1,Person C,simulated
Prinsesje en Superman,1,Person C,simulated
Prinsesje en Superman,2,Person C,simulated
Puppy love,8,Mister A,simulated
Puppy love,7,Miss B,simulated
Puppy love,6,Miss B,simulated
Pyjamaparty,8,Mister A,simulated
Pyjamaparty,2,Person C,simulated
Pyjamaparty,5,Miss B,simulated
Pyjamaparty,1,Miss B,simulated
Ra-ta-ta-ta,8,Person C,simulated
Ra-ta-ta-ta,1,Miss B,simulated
Ra-ta-ta-ta,4,Person C,simulated
Radio,6.5,Miss B,simulated
Radio,9.5,Miss B,simulated
Radio,3.5,Mister A,simulated
Raket naar de maan,3.5,Miss B,simulated
Raket naar de maan,8.5,Person C,simulated
Raket naar de maan,1.5,Person C,simulated
Raket naar de maan,1,Miss B,simulated
Raket naar de maan,1,Person C,simulated
Raket naar de maan,5.5,Mister A,simulated
Raket naar de maan,1,Mister A,simulated
Raket naar de maan,8.5,Person C,simulated
Rettettet,7,Miss B,simulated
Rokjes,4,Mister A,simulated
Rokjes,8,Person C,simulated
Rokjes,8,Miss B,simulated
Rokjes,10,Person C,simulated
Rokjes,10,Person C,simulated
Roller Disco,8,Person C,simulated
Roller Disco,1,Mister A,simulated
Samen feesten,9,Miss B,simulated
Samen feesten,3,Mister A,simulated
Samen feesten,4,Person C,simulated
Shakalaka,6,Person C,simulated
Shakalaka,5,Person C,simulated
Shakalaka,8,Miss B,simulated
Shakalaka,8,Person C,simulated
Smoorverliefd,1,Miss B,simulated
Smoorverliefd,9.5,Mister A,simulated
Smoorverliefd,8.5,Mister A,simulated
SMS,9,Miss B,simulated
SMS,7,Miss B,simulated
Sproetje,5,Person C,simulated
Sproetje,10,Mister A,simulated
Sproetje,3,Person C,simulated
Sproetje,6,Miss B,simulated
Sproetje,7,Person C,simulated
Sprookjesboek,4.5,Mister A,simulated
Sprookjesboek,1.5,Person C,simulated
Sprookjesboek,7.5,Person C,simulated
Sprookjesboek,1,Mister A,simulated
Sprookjesbos,7,Mister A,simulated
Sprookjesbos,3,Mister A,simulated
Ster,1,Mister A,simulated
Ster,5.5,Mister A,simulated
Sterren,6,Miss B,simulated
Sterren,9,Person C,simulated
Sterren,10,Person C,simulated
Sterren,6,Miss B,simulated
Sterren,2,Miss B,simulated
Sterren,1,Miss B,simulated
Straal!,2.5,Mister A,simulated
Straal!,5.5,Mister A,simulated
Straal!,4.5,Miss B,simulated
Straal!,6.5,Mister A,simulated
Straal!,6.5,Person C,simulated
Straal!,2.5,Person C,simulated
Superformidastisch,4,Miss B,simulated
Superformidastisch,10,Person C,simulated
Superster,3.5,Person C,simulated
Tele-Romeo,6,Person C,simulated
Tele-Romeo,9,Mister A,simulated
Tele-Romeo,10,Miss B,simulated
Tele-Romeo,9,Person C,simulated
Tele-Romeo,4,Person C,simulated
Telepathie,3.5,Miss B,simulated
Telepathie,8.5,Mister A,simulated
Tika Tika,1,Person C,simulated
Tika Tika,3,Person C,simulated
Tika Tika,4,Mister A,simulated
Tika Tika,3,Person C,simulated
Tjikke boem,1.5,Mister A,simulated
Tjikke boem,1,Mister A,simulated
Tjikke boem,5.5,Mister A,simulated
Tjikke boem,6.5,Person C,simulated
Toetje,6.5,Mister A,simulated
Toetje,6.5,Mister A,simulated
Toetje,8.5,Miss B,simulated
Torenhoog,9,Miss B,simulated
Torenhoog,9,Person C,simulated
Torenhoog,7,Person C,simulated
Trouwen,2,Person C,simulated
Trouwen,6,Miss B,simulated
Trouwen,8,Person C,simulated
Ushuaia,3,Mister A,simulated
Ushuaia,3,Person C,simulated
Ushuaia,6,Miss B,simulated
Ushuaia,2,Miss B,simulated
Ushuaia,5,Person C,simulated
Ushuaia,7,Miss B,simulated
Ushuaia,5,Person C,simulated
Ushuaia,8,Mister A,simulated
Vakantie,8.5,Miss B,simulated
Vakantie,3.5,Miss B,simulated
Vanbinnen,7.5,Miss B,simulated
Vanbinnen,1.5,Mister A,simulated
Vanbinnen,4.5,Mister A,simulated
Vanbinnen,1,Mister A,simulated
Vanbinnen,2.5,Mister A,simulated
Verlegen Vlindertje,7,Miss B,simulated
Verlegen Vlindertje,8,Mister A,simulated
Verlegen Vlindertje,1,Mister A,simulated
Verliefd,10,Person C,simulated
Verliefd,9,Person C,simulated
Verliefd,5,Person C,simulated
Verliefd Zijn,9,Miss B,simulated
Verliefd Zijn,3,Mister A,simulated
Verliefd Zijn,6,Mister A,simulated
Verliefd Zijn,5,Person C,simulated
Verliefd Zijn,1,Mister A,simulated
Verliefd Zijn,3,Miss B,simulated
Verstoppertje,4.5,Miss B,simulated
Verstoppertje,1.5,Person C,simulated
Vind ik leuk,9.5,Miss B,simulated
Vind ik leuk,8.5,Mister A,simulated
Vind ik leuk,3.5,Person C,simulated
Visje in het water,1.5,Mister A,simulated
Visje in het water,4.5,Mister A,simulated
Visje in het water,4.5,Mister A,simulated
Viva viool,8.5,Mister A,simulated
Viva viool,2.5,Mister A,simulated
Viva viool,5.5,Person C,simulated
Vleugels,6.5,Person C,simulated
Vleugels,6.5,Mister A,simulated
Vleugels,2.5,Miss B,simulated
Vleugels,2.5,Mister A,simulated
Vleugels,2.5,Miss B,simulated
Vliegen als een vogel,5,Person C,simulated
Vliegen als een vogel,5,Person C,simulated
Voel je die zon,3,Mister A,simulated
Voel je die zon,9,Mister A,simulated
Voel je die zon,7,Mister A,simulated
Voel je die zon,6,Miss B,simulated
Vogeltjes,9,Person C,simulated
Vogeltjes,9,Mister A,simulated
Vogeltjes,5,Mister A,simulated
Vogeltjes,3,Person C,simulated
Vriend of vriendin (S.O.S.),5,Person C,simulated
Vriend of vriendin (S.O.S.),1,Person C,simulated
Vriend of vriendin (S.O.S.),2,Person C,simulated
Vriendschap,5,Miss B,simulated
Vrij,6,Person C,simulated
Vrij,8,Miss B,simulated
Vrij,6,Miss B,simulated
Vrij,2,Miss B,simulated
Vrij,4,Mister A,simulated
Waar zijn die engeltjes,7.5,Mister A,simulated
Waar zijn die engeltjes,9.5,Mister A,simulated
Waar zijn die engeltjes,1.5,Mister A,simulated
Wanneer zie ik jou terug,3.5,Miss B,simulated
Wanneer zie ik jou terug,1,Mister A,simulated
Wanneer zie ik jou terug,5.5,Miss B,simulated
Wanneer zie ik jou terug,2.5,Person C,simulated
Wanneer zie ik jou terug,8.5,Miss B,simulated
Wanneer zie ik jou terug,2.5,Person C,simulated
Ware liefde,2,Mister A,simulated
Wat doe ik met mijn haar,4.5,Miss B,simulated
Wat doe ik met mijn haar,6.5,Mister A,simulated
Wat doe ik met mijn haar,6.5,Person C,simulated
Wat doe ik met mijn haar,7.5,Mister A,simulated
Wat doe ik met mijn haar,1,Miss B,simulated
Wat ik wensen zou,6,Miss B,simulated
Wat ik wensen zou,8,Mister A,simulated
Wat ik wensen zou,1,Person C,simulated
Wat ik wensen zou,1,Miss B,simulated
Wat ik wensen zou,1,Mister A,simulated
Wat ik wil,10,Miss B,simulated
Wat ik wil,7,Miss B,simulated
Wat ik wil,2,Person C,simulated
Wat ik wil,10,Miss B,simulated
Wat ik wil,2,Mister A,simulated
Wat jij doet met mij,1,Miss B,simulated
Wat jij doet met mij,8.5,Person C,simulated
Wat jij doet met mij,5.5,Miss B,simulated
Wat jij doet met mij,7.5,Person C,simulated
Wat jij doet met mij,6.5,Person C,simulated
Wat jij doet met mij,1.5,Mister A,simulated
Wat jij doet met mij,1.5,Mister A,simulated
Waterval,5.5,Person C,simulated
Waterval,6.5,Miss B,simulated
Waterval,1,Miss B,simulated
Waterval,8.5,Miss B,simulated
Waterval,1,Mister A,simulated
Whoppa!,7,Mister A,simulated
Whoppa!,2,Mister A,simulated
Whoppa!,4,Person C,simulated
Whoppa!,4,Mister A,simulated
Wie wordt straks m'n liefje,1,Person C,simulated
Wie wordt straks m'n liefje,2,Person C,simulated
Wie wordt straks m'n liefje,5,Person C,simulated
Wie zal ik een kusje geven,1.5,Mister A,simulated
Wie zal ik een kusje geven,7.5,Miss B,simulated
Wie zal ik een kusje geven,6.5,Miss B,simulated
Wij blijven vrienden,8,Mister A,simulated
Wij blijven vrienden,9,Miss B,simulated
Willem-Alexander,1,Mister A,simulated
Willem-Alexander,9.5,Miss B,simulated
Woef!,4,Miss B,simulated
Woef!,1,Mister A,simulated
Woef!,6,Person C,simulated
Woef!,1,Mister A,simulated
Woef!,7,Person C,simulated
Woef!,3,Person C,simulated
Woef!,7,Mister A,simulated
Ya Ya Yippee,1,Person C,simulated
Yeke yeke,2,Miss B,simulated
Yeke yeke,9,Person C,simulated
Yeke yeke,8,Mister A,simulated
Yeke yeke,8,Mister A,simulated
Yippee yippee,10,Miss B,simulated
Yippee yippee,10,Mister A,simulated
Yippee yippee,1,Mister A,simulated
Yippee yippee,4,Person C,simulated
Yippee yippee,2,Mister A,simulated
Yippee yippee,4,Person C,simulated
Zeg eens AAA,7.5,Person C,simulated
Zo een liedje,5,Mister A,simulated
Zo een liedje,1,Person C,simulated
Zo een liedje,1,Person C,simulated
Zomer van liefde,4.5,Person C,simulated
Zomer van liefde,4.5,Mister A,simulated
Zomer van liefde,4.5,Miss B,simulated
Zomer van liefde,6.5,Miss B,simulated
Zomerlijf,1.5,Mister A,simulated
Zomerlijf,8.5,Mister A,simulated
Zomerlijf,1.5,Miss B,simulated
Zomerlijf,1,Miss B,simulated
Zomerlijf,4.5,Person C,simulated
Zomerlijf,1.5,Miss B,simulated
Zonder jou,4,Miss B,simulated
Zonder jou,10,Mister A,simulated
Zonder jou,6,Mister A,simulated
Zonder jou,10,Person C,simulated
Zonder jou,5,Person C,simulated
Zonder jou,7,Person C,simulated
Zonnestraaltje,5,Miss B,simulated
Zonnestraaltje,10,Miss B,simulated
Zonnestraaltje,6,Mister A,simulated
Zoo,8,Miss B,simulated
Zoo,3,Miss B,simulated
Zoo,1,Mister A,simulated
Zou er iemand zijn op Mars?,2,Miss B,simulated
Zou er iemand zijn op Mars?,6,Person C,simulated
Zou er iemand zijn op Mars?,7,Miss B,simulated
Zwaai als je verliefd bent,1,Person C,simulated
Zwaai als je verliefd bent,5.5,Person C,simulated
Zwaai als je verliefd bent,7.5,Person C,simulated
Zwaai als je verliefd bent,2.5,Miss B,simulated
Zwaai als je verliefd bent,5.5,Miss B,simulated
Zwaai als je verliefd bent,5.5,Mister A,simulated
